Obs,cohort,label_cohort,cohort_years,dod_occ_code_level,dod_occ_code,label_dod_occ_code,ind_level,industry,label_industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn
25,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,21,"Mining, Quarrying, and Oil and Gas Extraction",1899,1453,931,36570,48650,56660,53360,68880,80580,70080,91960,109200,1,1,1,1,1,1
26,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,22,Utilities,524,688,506,29600,44520,55920,41460,63090,78340,57620,84790,98610,1,1,1,1,1,1
27,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,23,Construction,8533,6235,3221,21820,27960,33290,30050,40070,47780,41070,55730,67780,1,1,1,1,1,1
28,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,31-33,Manufacturing,9931,8020,4852,23540,30440,35200,32450,41910,49000,44150,57080,68690,1,1,1,1,1,1
29,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,42,Wholesale Trade,4133,3353,2095,22990,30070,34970,31370,41860,47840,42820,56240,65770,1,1,1,1,1,1
30,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,44-45,Retail Trade,10040,6395,3098,17740,21230,25510,23740,30270,37340,33210,43060,52740,1,1,1,1,1,1
31,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,48-49,Transportation and Warehousing,4736,3652,2201,21390,27650,32320,30100,39780,45510,41950,54860,62150,1,1,1,1,1,1
32,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,51,Information,1586,1506,980,24920,32680,40120,34950,44190,56260,48090,61820,78270,1,1,1,1,1,1
33,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,52,Finance and Insurance,1345,1451,930,22800,31470,38380,31870,43260,52340,42930,59110,75920,1,1,1,1,1,1
34,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,53,Real Estate and Rental and Leasing,1349,946,545,20490,25240,29710,27720,36720,43370,38350,50820,58780,1,1,1,1,1,1
35,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,54,"Professional, Scientific, and Technical Services",6505,5664,3078,36450,42780,47480,56180,62470,68310,85970,93640,98760,1,1,1,1,1,1
36,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,55,Management of Companies and Enterprises,735,678,464,22120,31360,35380,31640,43810,51250,43930,64010,78340,1,1,1,1,1,1
37,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,56,"Administrative and Support and Waste
Management and Remediation Services",13140,7581,3583,19920,24030,26270,28140,35590,40240,40610,53360,61510,1,1,1,1,1,1
38,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,61,Educational Services,2495,2726,1864,27570,33150,36930,44130,49060,52310,59200,65990,69540,1,1,1,1,1,1
39,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,62,Health Care and Social Assistance,2638,3119,2218,19310,25490,30080,26430,35320,43790,35460,48380,61940,1,1,1,1,1,1
40,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,71,"Arts, Entertainment, and Recreation",1018,872,440,17810,22030,24830,23780,31730,37380,32060,45810,59800,1,1,1,1,1,1
41,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,72,Accommodation and Food Services,3448,2386,1285,16050,17820,20310,20630,24340,27650,27840,35270,41690,1,1,1,1,1,1
42,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,81,Other Services (except Public Administration),2078,1536,834,20890,25430,28720,29990,37560,42700,42710,50990,57670,1,1,1,1,1,1
43,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,92,Public Administration,6726,7895,5174,26950,36530,41220,34670,46840,55090,43240,61690,74860,1,1,1,1,1,1
44,0,2000-2015,16,2,10X,"Infantry, Gun Crews, and
Seamanship Specialists",N,99,Federal Government,4323,7313,5343,32440,41860,47260,41710,52830,60900,55070,68710,80480,1,1,1,1,1,1
45,0,2000-2015,16,2,11X,Electronic Equipment Repairers,A,0,All NAICS sectors,19340,16700,9918,25860,34210,39810,40560,51690,58970,64080,76150,84800,1,1,1,1,1,1
46,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,11,"Agriculture, Forestry, Fishing and Hunting",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
47,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,21,"Mining, Quarrying, and Oil and Gas Extraction",234,206,118,41490,50670,58330,58380,71940,89930,77900,97790,118900,1,1,1,1,1,1
48,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,22,Utilities,94,120,80,36880,49920,61670,50930,72500,79710,65350,93340,105000,1,1,1,1,1,1
49,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,23,Construction,1308,883,476,23880,29690,36320,33880,42890,50930,47880,58860,73150,1,1,1,1,1,1
50,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,31-33,Manufacturing,1915,1741,1009,27480,35580,41220,39610,50380,56730,58140,70250,80200,1,1,1,1,1,1
51,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,42,Wholesale Trade,887,755,491,28310,35800,41390,40410,49490,56020,59660,72940,77350,1,1,1,1,1,1
52,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,44-45,Retail Trade,1499,1011,511,17270,21950,25870,23300,30260,37410,33150,42660,56490,1,1,1,1,1,1
53,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,48-49,Transportation and Warehousing,697,532,318,22670,27110,29680,34370,39960,48840,53770,62030,65670,1,1,1,1,1,1
54,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,51,Information,2036,1582,910,34090,44560,54560,52570,63590,73410,73510,87600,95380,1,1,1,1,1,1
55,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,52,Finance and Insurance,290,340,218,21900,30220,35780,30850,41710,50890,44410,59510,73810,1,1,1,1,1,1
56,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,53,Real Estate and Rental and Leasing,224,190,85,22330,25210,32720,30450,36860,44300,44350,52800,69050,1,1,1,1,1,1
57,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,54,"Professional, Scientific, and Technical Services",3863,3055,1539,46690,53870,58120,66870,76540,83000,93080,105100,115100,1,1,1,1,1,1
58,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,55,Management of Companies and Enterprises,236,207,153,27400,37070,47600,42570,56160,63120,77030,75690,83730,1,1,1,1,1,1
59,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,56,"Administrative and Support and Waste
Management and Remediation Services",2268,1353,663,20790,25320,28580,29870,38530,43810,47450,58540,64580,1,1,1,1,1,1
60,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,61,Educational Services,426,489,357,27280,28760,33660,41750,42680,47920,61040,56660,61700,1,1,1,1,1,1
61,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,62,Health Care and Social Assistance,473,645,541,20320,25270,32040,29160,36050,46990,39280,54210,66180,1,1,1,1,1,1
62,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,71,"Arts, Entertainment, and Recreation",138,111,57,18280,25230,27830,26160,36390,36240,35650,52930,46790,1,1,1,1,1,1
63,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,72,Accommodation and Food Services,518,387,234,15920,18030,20710,20700,24570,28950,29020,36460,42090,1,1,1,1,1,1
64,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,81,Other Services (except Public Administration),398,310,166,23460,31940,34980,36750,46060,48120,53240,64660,71840,1,1,1,1,1,1
65,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,92,Public Administration,686,817,562,25730,35490,39070,34630,44570,51810,43440,58290,67660,1,1,1,1,1,1
66,0,2000-2015,16,2,11X,Electronic Equipment Repairers,N,99,Federal Government,1125,1934,1393,37080,47980,52630,53340,64880,70830,68130,81740,90810,1,1,1,1,1,1
67,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",A,0,All NAICS sectors,37850,31680,18110,24760,33490,39920,39250,51590,60370,66860,79670,88730,1,1,1,1,1,1
68,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,11,"Agriculture, Forestry, Fishing and Hunting",106,55,.,21310,21690,.,29360,32860,.,40500,47320,.,1,1,5,1,1,5
69,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,21,"Mining, Quarrying, and Oil and Gas Extraction",496,355,188,36710,51760,56740,51490,70170,79380,70190,91100,111300,1,1,1,1,1,1
70,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,22,Utilities,171,203,169,29720,43570,54870,41410,64390,71960,58940,79480,99240,1,1,1,1,1,1
71,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,23,Construction,2251,1542,808,22080,29190,33500,31430,41910,49480,43810,59780,73640,1,1,1,1,1,1
72,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,31-33,Manufacturing,3008,2512,1550,25010,33230,39210,35090,46910,56380,51600,66400,79830,1,1,1,1,1,1
73,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,42,Wholesale Trade,1382,1112,699,24830,31910,37460,34530,45440,52800,50640,65590,83980,1,1,1,1,1,1
74,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,44-45,Retail Trade,3414,2109,1035,17410,20770,24050,23510,29750,35530,33370,42860,52190,1,1,1,1,1,1
75,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,48-49,Transportation and Warehousing,1483,1054,615,21610,28960,32090,31690,41460,47880,47210,61360,70350,1,1,1,1,1,1
76,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,51,Information,1556,1368,802,32290,40360,47800,50650,61040,68840,75100,84580,92580,1,1,1,1,1,1
77,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,52,Finance and Insurance,767,767,492,24260,33120,40980,33770,46680,54410,47210,62460,78530,1,1,1,1,1,1
78,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,53,Real Estate and Rental and Leasing,420,312,166,20360,26300,29610,29250,38620,48680,40070,53550,67310,1,1,1,1,1,1
79,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,54,"Professional, Scientific, and Technical Services",9039,6455,2886,55480,61370,63890,77110,86590,91130,100900,114200,122000,1,1,1,1,1,1
80,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,55,Management of Companies and Enterprises,437,368,235,28310,36010,42530,50230,52440,60950,87820,85380,87710,1,1,1,1,1,1
81,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,56,"Administrative and Support and Waste
Management and Remediation Services",4670,2549,1211,21030,24780,27450,30890,38030,43400,47980,59840,67910,1,1,1,1,1,1
82,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,61,Educational Services,929,1165,842,25830,30550,37560,40780,44560,49770,61330,62010,63990,1,1,1,1,1,1
83,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,62,Health Care and Social Assistance,940,1242,864,19370,24790,33040,27360,36280,46930,37330,50190,65760,1,1,1,1,1,1
84,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,71,"Arts, Entertainment, and Recreation",367,311,142,17530,22740,26300,22860,33350,41270,33870,46000,66580,1,1,1,1,1,1
85,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,72,Accommodation and Food Services,1285,839,400,16230,18320,20640,20500,24390,29280,27760,34100,42590,1,1,1,1,1,1
86,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,81,Other Services (except Public Administration),619,560,289,20900,26830,29650,30600,39990,45750,44550,57180,68010,1,1,1,1,1,1
87,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,92,Public Administration,2075,2437,1478,27110,35440,42150,35350,46350,55650,44060,60600,75040,1,1,1,1,1,1
88,0,2000-2015,16,2,12X,"Communications and Intelligence
Specialists",N,99,Federal Government,2452,4359,3202,36210,49560,57980,50790,68550,79220,69810,88800,100200,1,1,1,1,1,1
89,0,2000-2015,16,2,13X,Health Care Specialists,A,0,All NAICS sectors,12150,8609,2015,24880,33190,40560,36660,46550,56990,51660,63900,78670,1,1,1,1,1,1
90,0,2000-2015,16,2,13X,Health Care Specialists,N,11,"Agriculture, Forestry, Fishing and Hunting",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
91,0,2000-2015,16,2,13X,Health Care Specialists,N,21,"Mining, Quarrying, and Oil and Gas Extraction",101,62,.,36070,54180,.,60100,72500,.,82160,101900,.,1,1,5,1,1,5
92,0,2000-2015,16,2,13X,Health Care Specialists,N,22,Utilities,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
93,0,2000-2015,16,2,13X,Health Care Specialists,N,23,Construction,378,191,56,22780,29480,36580,31710,42860,53620,44790,60330,68780,1,1,1,1,1,1
94,0,2000-2015,16,2,13X,Health Care Specialists,N,31-33,Manufacturing,696,534,231,26320,34640,45390,37390,48250,63120,52200,67440,79940,1,1,1,1,1,1
95,0,2000-2015,16,2,13X,Health Care Specialists,N,42,Wholesale Trade,363,252,78,25510,35520,40450,37180,51820,55950,63880,73250,90000,1,1,1,1,1,1
96,0,2000-2015,16,2,13X,Health Care Specialists,N,44-45,Retail Trade,816,466,128,17430,21830,26100,22650,31100,40180,32370,46390,55740,1,1,1,1,1,1
97,0,2000-2015,16,2,13X,Health Care Specialists,N,48-49,Transportation and Warehousing,378,290,142,23820,29680,50590,35390,48320,66580,53390,68460,85920,1,1,1,1,1,1
98,0,2000-2015,16,2,13X,Health Care Specialists,N,51,Information,139,107,.,25850,35030,.,40360,47500,.,57900,67630,.,1,1,5,1,1,5
99,0,2000-2015,16,2,13X,Health Care Specialists,N,52,Finance and Insurance,190,132,.,24650,30900,.,34570,43370,.,46270,58130,.,1,1,5,1,1,5
100,0,2000-2015,16,2,13X,Health Care Specialists,N,53,Real Estate and Rental and Leasing,130,78,.,19500,31460,.,30900,39580,.,44620,53120,.,1,1,5,1,1,5
101,0,2000-2015,16,2,13X,Health Care Specialists,N,54,"Professional, Scientific, and Technical Services",887,548,176,32350,37180,40660,49780,56940,69270,69240,77970,90160,1,1,1,1,1,1
102,0,2000-2015,16,2,13X,Health Care Specialists,N,55,Management of Companies and Enterprises,104,66,.,22610,29450,.,34860,40180,.,50370,60460,.,1,1,5,1,1,5
103,0,2000-2015,16,2,13X,Health Care Specialists,N,56,"Administrative and Support and Waste
Management and Remediation Services",1021,486,123,21620,25120,31770,31100,39460,48570,46540,62040,77990,1,1,1,1,1,1
104,0,2000-2015,16,2,13X,Health Care Specialists,N,61,Educational Services,345,362,106,28220,29940,39920,40850,43430,53450,54380,57730,70360,1,1,1,1,1,1
105,0,2000-2015,16,2,13X,Health Care Specialists,N,62,Health Care and Social Assistance,2682,1828,211,24050,30950,35940,34720,44240,52370,50970,61930,74730,1,1,1,1,1,1
106,0,2000-2015,16,2,13X,Health Care Specialists,N,71,"Arts, Entertainment, and Recreation",82,.,.,18020,.,.,23880,.,.,33480,.,.,1,5,5,1,5,5
107,0,2000-2015,16,2,13X,Health Care Specialists,N,72,Accommodation and Food Services,363,188,.,16990,18770,.,21660,24860,.,30810,33140,.,1,1,5,1,1,5
108,0,2000-2015,16,2,13X,Health Care Specialists,N,81,Other Services (except Public Administration),201,137,.,22290,25440,.,35490,44410,.,55740,64570,.,1,1,5,1,1,5
109,0,2000-2015,16,2,13X,Health Care Specialists,N,92,Public Administration,506,482,123,26490,34660,37280,35410,45540,48980,44480,58830,69260,1,1,1,1,1,1
110,0,2000-2015,16,2,13X,Health Care Specialists,N,99,Federal Government,2646,2293,441,34620,41100,50160,42520,51650,63370,54090,65570,83010,1,1,1,1,1,1
111,0,2000-2015,16,2,14X,Other Allied Professions,A,0,All NAICS sectors,5971,5697,3924,24900,32020,37950,38230,47880,55820,57070,69650,81020,1,1,1,1,1,1
112,0,2000-2015,16,2,14X,Other Allied Professions,N,11,"Agriculture, Forestry, Fishing and Hunting",.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
113,0,2000-2015,16,2,14X,Other Allied Professions,N,21,"Mining, Quarrying, and Oil and Gas Extraction",50,.,.,31460,.,.,43460,.,.,69210,.,.,1,5,5,1,5,5
114,0,2000-2015,16,2,14X,Other Allied Professions,N,22,Utilities,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5
115,0,2000-2015,16,2,14X,Other Allied Professions,N,23,Construction,286,223,123,23250,29700,39880,34120,43050,55430,46540,63420,77990,1,1,1,1,1,1
116,0,2000-2015,16,2,14X,Other Allied Professions,N,31-33,Manufacturing,364,410,282,23820,32110,35290,34170,42090,50860,49400,60930,73390,1,1,1,1,1,1
117,0,2000-2015,16,2,14X,Other Allied Professions,N,42,Wholesale Trade,175,169,108,28360,32240,37300,37420,44350,55350,54090,66030,76170,1,1,1,1,1,1
118,0,2000-2015,16,2,14X,Other Allied Professions,N,44-45,Retail Trade,546,380,208,17820,20880,23620,23570,28340,32900,32950,42000,53120,1,1,1,1,1,1
119,0,2000-2015,16,2,14X,Other Allied Professions,N,48-49,Transportation and Warehousing,195,170,142,20350,28470,26630,30980,42810,41140,45970,60890,56990,1,1,1,1,1,1
120,0,2000-2015,16,2,14X,Other Allied Professions,N,51,Information,167,148,91,28790,34860,47770,42520,56710,62230,64770,80200,93770,1,1,1,1,1,1
121,0,2000-2015,16,2,14X,Other Allied Professions,N,52,Finance and Insurance,119,138,101,21120,28630,35830,28560,41880,50740,42700,55120,77420,1,1,1,1,1,1
122,0,2000-2015,16,2,14X,Other Allied Professions,N,53,Real Estate and Rental and Leasing,53,77,.,19490,20900,.,25870,32130,.,43680,46630,.,1,1,5,1,1,5
123,0,2000-2015,16,2,14X,Other Allied Professions,N,54,"Professional, Scientific, and Technical Services",1106,846,466,41640,49470,51090,62470,71450,74990,87940,96960,105600,1,1,1,1,1,1
124,0,2000-2015,16,2,14X,Other Allied Professions,N,55,Management of Companies and Enterprises,74,54,60,27000,36010,41140,43050,50820,63290,65850,76760,94790,1,1,1,1,1,1
125,0,2000-2015,16,2,14X,Other Allied Professions,N,56,"Administrative and Support and Waste
Management and Remediation Services",772,510,298,22780,25170,26740,35370,40910,42530,54780,67210,63160,1,1,1,1,1,1
126,0,2000-2015,16,2,14X,Other Allied Professions,N,61,Educational Services,327,347,258,26030,33260,38380,42460,47050,52190,56250,61970,66870,1,1,1,1,1,1
127,0,2000-2015,16,2,14X,Other Allied Professions,N,62,Health Care and Social Assistance,199,306,293,20100,24350,30420,26910,33550,43510,37080,47770,62270,1,1,1,1,1,1
128,0,2000-2015,16,2,14X,Other Allied Professions,N,71,"Arts, Entertainment, and Recreation",86,63,.,18100,21280,.,27280,37930,.,41000,61870,.,1,1,5,1,1,5
129,0,2000-2015,16,2,14X,Other Allied Professions,N,72,Accommodation and Food Services,173,135,97,15360,17690,18510,19850,22790,25980,28430,31140,40900,1,1,1,1,1,1
130,0,2000-2015,16,2,14X,Other Allied Professions,N,81,Other Services (except Public Administration),91,92,57,20590,25760,29990,30790,35290,42330,49050,46940,56840,1,1,1,1,1,1
131,0,2000-2015,16,2,14X,Other Allied Professions,N,92,Public Administration,353,411,313,28190,36030,41290,36330,45390,54350,45770,59440,70600,1,1,1,1,1,1
132,0,2000-2015,16,2,14X,Other Allied Professions,N,99,Federal Government,762,1096,878,35190,46010,52730,44530,59630,71990,62520,77130,91290,1,1,1,1,1,1
133,0,2000-2015,16,2,15X,"Functional Support and
Administration",A,0,All NAICS sectors,46280,40530,24000,25040,32850,37310,37330,47250,53470,55100,68150,77350,1,1,1,1,1,1
134,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,11,"Agriculture, Forestry, Fishing and Hunting",68,61,.,18710,20520,.,23950,35290,.,29450,49240,.,1,1,5,1,1,5
135,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,21,"Mining, Quarrying, and Oil and Gas Extraction",332,227,152,36040,49760,54490,52460,68840,81020,72930,90920,113300,1,1,1,1,1,1
136,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,22,Utilities,121,174,122,28040,40360,51300,37580,56120,67850,52430,79110,86330,1,1,1,1,1,1
137,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,23,Construction,1353,987,474,22720,28220,35190,32600,40980,48120,47990,61080,70980,1,1,1,1,1,1
138,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,31-33,Manufacturing,3041,2505,1423,25770,31720,34980,36680,45280,51840,52030,63470,73520,1,1,1,1,1,1
139,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,42,Wholesale Trade,1562,1306,773,24570,29670,33460,34740,41070,47450,49110,58400,68710,1,1,1,1,1,1
140,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,44-45,Retail Trade,3752,2324,1176,17810,20840,23610,24700,29490,34400,35780,43210,51810,1,1,1,1,1,1
141,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,48-49,Transportation and Warehousing,2368,1593,923,22970,28360,32660,32580,41440,47140,46780,59760,64650,1,1,1,1,1,1
142,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,51,Information,1258,1023,489,28130,34540,40670,43120,51060,57910,66410,77920,82730,1,1,1,1,1,1
143,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,52,Finance and Insurance,1353,1123,739,23030,30220,34990,32030,41290,49600,43700,57800,70860,1,1,1,1,1,1
144,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,53,Real Estate and Rental and Leasing,556,418,222,21280,28990,29990,31950,39420,39670,45270,52750,54080,1,1,1,1,1,1
145,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,54,"Professional, Scientific, and Technical Services",7407,5106,2378,40100,48650,49450,58230,69230,73690,83470,99530,107600,1,1,1,1,1,1
146,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,55,Management of Companies and Enterprises,483,431,304,25680,32900,38980,39340,50630,63780,61370,77450,89300,1,1,1,1,1,1
147,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,56,"Administrative and Support and Waste
Management and Remediation Services",5798,3250,1514,20720,23650,24820,29910,35400,38280,44650,53140,60240,1,1,1,1,1,1
148,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,61,Educational Services,2020,2049,1424,28670,31190,35170,44700,47630,50010,59070,64900,67810,1,1,1,1,1,1
149,0,2000-2015,16,2,15X,"Functional Support and
Administration",N,62,Health Care and Social Assistance,1927,2405,1693,20470,23740,28330,28460,33630,39700,38650,46340,56690,1,1,1,1,1,1
